ReadFlashSamples Starting...
unix_seconds, hour_twelfth, pressure, temperature, humidity
1554072300, 25905, 993.32, 26.07, 36.10
1554071400, 25902, 993.35, 26.14, 36.80
1554071400, 25902, 993.37, 26.12, 36.80
1554071700, 25903, 993.36, 26.11, 37.00
1554072600, 25906, 993.33, 26.06, 35.70
1554072600, 25906, 993.36, 26.06, 36.30
1554072600, 25906, 993.34, 26.06, 36.20
1554072900, 25907, 993.34, 26.06, 36.30
1554072900, 25907, 993.36, 26.08, 36.40
1554072900, 25907, 993.35, 26.07, 36.40
1554072900, 25907, 993.36, 26.07, 35.70
1554072900, 25907, 993.33, 26.07, 35.80
1554073200, 25908, 993.33, 26.07, 36.60
1554073500, 25909, 993.26, 26.15, 36.50
1554073500, 25909, 993.24, 26.18, 36.40
1554073500, 25909, 993.24, 26.17, 35.80
1554073500, 25909, 993.23, 26.20, 36.10
1554073800, 25910, 993.20, 26.19, 36.00
1554073800, 25910, 993.19, 26.20, 35.80
1554073800, 25910, 993.18, 26.32, 35.70
1554073800, 25910, 993.18, 26.31, 35.70
1554073800, 25910, 993.20, 26.32, 35.70
1554074100, 25911, 993.18, 26.35, 35.60
1554074100, 25911, 993.18, 26.40, 35.50
1554074100, 25911, 993.19, 26.46, 35.30
1554074100, 25911, 993.18, 26.53, 35.10
1554074100, 25911, 993.18, 26.59, 34.90
1554074400, 25912, 993.11, 26.72, 34.90
1554074400, 25912, 993.12, 26.71, 34.80
1554074400, 25912, 993.11, 26.68, 32.40
1554074400, 25912, 993.14, 26.62, 34.20
1554074700, 25913, 993.13, 26.61, 34.20
1554074700, 25913, 993.10, 26.58, 34.20
1554074700, 25913, 993.10, 26.57, 33.80
1554074700, 25913, 993.07, 26.55, 32.10
1554075000, 25914, 993.03, 26.51, 30.50
1554075000, 25914, 992.99, 26.48, 31.20
1554075000, 25914, 993.00, 26.47, 31.80
1554075000, 25914, 993.00, 26.42, 28.90
1554075000, 25914, 993.00, 26.38, 29.30
1554075300, 25915, 993.00, 26.36, 30.20
1554075300, 25915, 993.02, 26.32, 29.60
1554075300, 25915, 993.01, 26.30, 30.30
1554075300, 25915, 993.00, 26.27, 30.90
1554075300, 25915, 992.99, 26.24, 31.20
1554075600, 25916, 992.97, 26.22, 31.40
1554075600, 25916, 992.97, 26.20, 32.20
1554075600, 25916, 992.98, 26.17, 32.30
1554075600, 25916, 992.97, 26.14, 32.30
1554075600, 25916, 992.97, 26.11, 32.50
1554075900, 25917, 992.98, 26.08, 32.60
1554075900, 25917, 993.00, 26.06, 32.80
1554075900, 25917, 992.98, 26.04, 32.90
1554075900, 25917, 992.99, 26.02, 32.70
1554075900, 25917, 993.00, 26.00, 33.00
1554076200, 25918, 992.97, 25.98, 33.20
1554076200, 25918, 992.97, 25.96, 33.20
1554076200, 25918, 992.95, 25.93, 33.30
1554076200, 25918, 992.91, 25.91, 33.30
1554076200, 25918, 992.92, 25.89, 33.10
1554076500, 25919, 992.93, 25.88, 33.20
1554076500, 25919, 992.94, 25.89, 33.10
1554076500, 25919, 992.94, 25.90, 33.00
1554076500, 25919, 992.93, 25.93, 32.90
1554076500, 25919, 992.94, 25.95, 32.80
1554076800, 25920, 992.94, 26.01, 32.80
1554076800, 25920, 992.94, 26.05, 32.80
1554076800, 25920, 992.93, 26.09, 32.80
1554076800, 25920, 992.93, 26.11, 32.80
1554077100, 25921, 992.92, 26.11, 32.90
1554077100, 25921, 992.93, 26.10, 33.00
1554077100, 25921, 992.92, 26.07, 33.00
1554077100, 25921, 992.92, 26.04, 32.90
1554077100, 25921, 992.91, 26.00, 32.70
1554077400, 25922, 992.93, 25.97, 32.50
1554077400, 25922, 992.91, 25.95, 32.10
1554077400, 25922, 992.90, 25.91, 31.70
1554077400, 25922, 992.92, 25.88, 31.60
1554077400, 25922, 992.91, 25.84, 31.40
1554077700, 25923, 992.87, 25.80, 31.20
1554077700, 25923, 992.87, 25.77, 31.00
1554077700, 25923, 992.88, 25.75, 30.70
1554077700, 25923, 992.88, 25.73, 30.60
1554077700, 25923, 992.86, 25.71, 30.70
1554078000, 25924, 992.84, 25.69, 30.60
1554078000, 25924, 992.83, 25.66, 30.30
1554078000, 25924, 992.84, 25.63, 30.20
1554078000, 25924, 992.84, 25.61, 30.10
1554078000, 25924, 992.86, 25.58, 30.00
1554078300, 25925, 992.83, 25.56, 30.10
1554078300, 25925, 992.83, 25.53, 30.10
1554078300, 25925, 992.83, 25.52, 30.40
1554078300, 25925, 992.87, 25.51, 30.70
1554078300, 25925, 992.86, 25.49, 31.00
1554078600, 25926, 992.86, 25.48, 31.40
1554078600, 25926, 992.84, 25.46, 31.60
1554078600, 25926, 992.85, 25.44, 31.90
1554078600, 25926, 992.84, 25.41, 32.10
1554078600, 25926, 992.86, 25.39, 32.30
1554078900, 25927, 992.86, 25.37, 32.40
